,0
273,-7214.814750162319
274,-7204.153508440575
275,-7193.534464084283
276,-7182.957346788491
277,-7172.421888579915
278,-7161.927823792157
279,-7151.474889041235
280,-7141.062823201418
281,-7130.691367381353
282,-7120.3602649005015
283,-7110.0692612658295
284,-7099.818104148839
285,-7089.606543362829
286,-7079.434330840468
287,-7069.301220611625
288,-7059.206968781484
289,-7049.151333508906
290,-7039.13407498508
291,-7029.154955412409
292,-7019.2137389836735
293,-7009.3101918614275
294,-6999.444082157664
295,-6989.615179913705
296,-6979.823257080361
297,-6970.068087498304
298,-6960.349446878686
299,-6950.667112783995
300,-6941.020864609142
301,-6931.4104835627595
302,-6921.835752648741
303,-6912.296456647992
304,-6902.7923821004015
305,-6893.323317287026
306,-6883.889052212483
307,-6874.489378587568
308,-6865.124089812052
309,-6855.792980957711
310,-6846.495848751531
311,-6837.232491559124
312,-6828.002709368351
313,-6818.8063037731
314,-6809.643077957303
315,-6800.512836679096
316,-6791.415386255199
317,-6782.350534545462
318,-6773.318090937582
319,-6764.317866332022
320,-6755.349673127087
321,-6746.413325204185
322,-6737.50863791324
323,-6728.635428058304
324,-6719.793513883306
325,-6710.982715057988
326,-6702.202852663981
327,-6693.45374918106
328,-6684.735228473555
329,-6676.047115776908
330,-6667.38923768438
331,-6658.761422133939
332,-6650.163498395261
333,-6641.5952970569015
334,-6633.056650013609
335,-6624.54739045378
336,-6616.067352847057
337,-6607.616372932071
338,-6599.194287704301
339,-6590.800935404125
340,-6582.43615550493
341,-6574.099788701417
342,-6565.7916768980185
343,-6557.511663197427
344,-6549.2595918892775
345,-6541.035308438951
346,-6532.838659476491
347,-6524.669492785657
348,-6516.52765729309
349,-6508.413003057611
350,-6500.325381259618
351,-6492.264644190627
352,-6484.230645242907
353,-6476.223238899231
354,-6468.242280722754
355,-6460.287627347001
356,-6452.359136465942
357,-6444.456666824202
358,-6436.580078207367
359,-6428.7292314324
360,-6420.903988338155
361,-6413.104211776
362,-6405.329765600545
363,-6397.580514660461
364,-6389.856324789407
365,-6382.157062797055
366,-6374.482596460203
367,-6366.832794514002
368,-6359.2075266432485
369,-6351.606663473807
370,-6344.030076564099
371,-6336.477638396684
372,-6328.949222369954
373,-6321.444702789882
374,-6313.963954861892
375,-6306.50685468278
376,-6299.073279232769
377,-6291.663106367602
378,-6284.276214810748
379,-6276.912484145667
380,-6269.571794808187
381,-6262.254028078937
382,-6254.959066075865
383,-6247.686791746846
384,-6240.437088862351
385,-6233.209842008206
386,-6226.004936578423
387,-6218.8222587681
388,-6211.661695566412
389,-6204.523134749645
390,-6197.406464874338
391,-6190.311575270476
392,-6183.238356034745
393,-6176.186698023891
394,-6169.156492848107
395,-6162.147632864509
396,-6155.160011170695
397,-6148.193521598324
398,-6141.248058706821
399,-6134.323517777092
400,-6127.419794805336
401,-6120.536786496916
402,-6113.6743902602775
403,-6106.832504200948
404,-6100.011027115584
405,-6093.209858486087
406,-6086.428898473777
407,-6079.668047913623
408,-6072.927208308523
409,-6066.206281823676
410,-6059.505171280962
411,-6052.823780153415
412,-6046.162012559737
413,-6039.519773258878
414,-6032.896967644651
415,-6026.293501740417
416,-6019.709282193823
417,-6013.1442162715775
418,-6006.598211854305
419,-6000.071177431419
420,-5993.563022096069
421,-5987.073655540139
422,-5980.602988049272
423,-5974.150930497972
424,-5967.717394344739
425,-5961.302291627247
426,-5954.905534957587
427,-5948.527037517548
428,-5942.166713053928
429,-5935.824475873929
430,-5929.500240840553
431,-5923.193923368083
432,-5916.905439417572
433,-5910.634705492404
434,-5904.381638633892
435,-5898.1461564169
436,-5891.928176945533
437,-5885.727618848855
438,-5879.544401276649
439,-5873.378443895224
440,-5867.2296668832505
441,-5861.097990927657
442,-5854.983337219538
